# title,"Budgeting Summary (lut=0.391ns/net=0.263ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","0.196","10.000","-0.011","0.035","9.800","4.779","5.021","34","23","19 (*)","25","-0.832","1.003","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[27]/D}"
"ap_clk","0.205","10.000","-0.011","0.035","9.791","4.771","5.020","34","23","19 (*)","25","-0.824","1.003","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[25]/D}"
"ap_clk","0.217","10.000","-0.011","0.035","9.779","4.758","5.021","34","23","19 (*)","25","-0.811","1.003","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[26]/D}"
"ap_clk","0.235","10.000","-0.011","0.035","9.762","4.743","5.019","34","23","19 (*)","25","-0.795","1.004","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[24]/D}"
"ap_clk","0.275","10.000","-0.010","0.035","9.723","4.732","4.991","33","23","19 (*)","25","-0.783","1.005","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[23]/D}"
"ap_clk","0.276","10.000","-0.010","0.035","9.721","4.731","4.990","33","23","19 (*)","25","-0.783","1.004","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[21]/D}"
"ap_clk","0.295","10.000","-0.010","0.035","9.702","4.711","4.991","33","23","19 (*)","25","-0.763","1.004","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[22]/D}"
"ap_clk","0.325","10.000","-0.010","0.035","9.673","4.684","4.989","33","23","20 (*)","25","-0.735","1.005","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[20]/D}"
"ap_clk","0.424","10.000","-0.011","0.035","9.572","4.581","4.991","33","23","20 (*)","25","-0.634","1.003","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[19]/D}"
"ap_clk","0.428","10.000","-0.011","0.035","9.568","4.577","4.991","33","23","20 (*)","25","-0.630","1.003","FDRE(22) LUT5(1) LUT4(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(87) LUT6(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(3) LUT6(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[56]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[18]/D}"
