# title,"Budgeting Summary (lut=0.391ns/net=0.263ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","0.118","10.000","-0.011","0.035","9.879","3.827","6.052","34","25","23 (*)","25","-0.405","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[27]/D}"
"ap_clk","0.127","10.000","-0.011","0.035","9.870","3.819","6.051","34","25","23 (*)","25","-0.397","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[25]/D}"
"ap_clk","0.139","10.000","-0.011","0.035","9.858","3.806","6.052","34","25","23 (*)","25","-0.384","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[26]/D}"
"ap_clk","0.157","10.000","-0.011","0.035","9.841","3.791","6.050","34","25","23 (*)","25","-0.368","0.223","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[24]/D}"
"ap_clk","0.288","10.000","-0.011","0.035","9.710","3.664","6.046","33","25","23 (*)","25","-0.241","0.223","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[23]/D}"
"ap_clk","0.298","10.000","-0.011","0.035","9.699","3.653","6.046","33","25","23 (*)","25","-0.231","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(6) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[22]/D}"
"ap_clk","0.387","10.000","-0.011","0.035","9.610","3.616","5.994","33","25","24 (*)","25","-0.194","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(3) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[21]/D}"
"ap_clk","0.436","10.000","-0.011","0.035","9.562","3.569","5.993","33","25","24 (*)","25","-0.146","0.223","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(3) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(2) LUT2(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[20]/D}"
"ap_clk","0.458","10.000","-0.011","0.035","9.539","3.539","6.000","33","25","24 (*)","25","-0.117","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(3) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[19]/D}"
"ap_clk","0.467","10.000","-0.011","0.035","9.530","3.531","5.999","33","25","24 (*)","25","-0.109","0.222","FDRE(32) LUT6(1) LUT5(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(1) LUT6(208) SRLC32E(1) LUT3(6) LUT6(93) LUT3(1) CARRY8(2) LUT2(1) CARRY8(1) LUT1(1) CARRY8(1) CARRY8(3) LUT3(1) CARRY8(2) LUT2(1) CARRY8(2) LUT2(1) CARRY8(1) CARRY8(1) FDRE","{bd_0_i/hls_inst/inst/ap_CS_fsm_reg[244]/C --> bd_0_i/hls_inst/inst/add_ln18_85_reg_12248_reg[17]/D}"
